scenario,time,active_operating_mode_name,fleet_shift_count,fleet_shift_timer,face1_target_extraction_rate,face1_real_extraction_rate,face1_achieved_extraction_rate,face1_operational_downtime_fraction,face2_target_extraction_rate,face2_real_extraction_rate,face2_achieved_extraction_rate,face2_operational_downtime_fraction,total_target_extraction_rate,total_real_extraction_rate,total_achieved_extraction_rate,capacity_gap_rate,capacity_utilization,Ore1Stock_mass,Ore2Stock_mass,total_system_ore_mass,mixed_ore1_fraction
Equal Fleet Allocation,5.5,MODE_A,12,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,45300.0,14700.0,60000.0,0.7
Equal Fleet Allocation,6.0,MODE_A,13,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,45600.0,14400.0,60000.0,0.7
Equal Fleet Allocation,6.5,MODE_A,14,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,45900.0,14100.0,60000.0,0.7
Equal Fleet Allocation,7.0,MODE_A,15,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,46200.0,13800.0,60000.0,0.7
Equal Fleet Allocation,7.5,MODE_A,16,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,46500.0,13500.0,60000.0,0.7
Equal Fleet Allocation,8.0,MODE_A,17,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,46800.0,13200.0,60000.0,0.7
Equal Fleet Allocation,8.5,MODE_A,18,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,47100.0,12900.0,60000.0,0.7
Equal Fleet Allocation,9.0,MODE_A,19,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,47400.0,12600.0,60000.0,0.7
Equal Fleet Allocation,9.5,MODE_A,20,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,47700.0,12300.0,60000.0,0.7
Equal Fleet Allocation,10.0,MODE_A,21,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,48000.0,12000.0,60000.0,0.7
Equal Fleet Allocation,10.5,MODE_A,22,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,48300.0,11700.0,60000.0,0.7
Equal Fleet Allocation,11.0,MODE_A,23,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,48600.0,11400.0,60000.0,0.7
Equal Fleet Allocation,11.5,MODE_A,24,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,48900.0,11100.0,60000.0,0.7
Equal Fleet Allocation,12.0,MODE_A,25,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,49200.0,10800.0,60000.0,0.7
Equal Fleet Allocation,12.5,MODE_A,26,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,49500.0,10500.0,60000.0,0.7
Equal Fleet Allocation,13.0,MODE_A,27,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,49800.0,10200.0,60000.0,0.7
